Hz_real,Hz_imag,Vout_real,Vout_imag
10000000,0,0.481123458599105,-0.122317601686118
10232929.9228075,0,0.480259556805982,-0.125033263122699
10471285.480509,0,0.479357321161832,-0.127803139225554
10715193.0523761,0,0.478415160307304,-0.130627905026998
10964781.9614318,0,0.477431426624461,-0.133508215951478
11220184.5430196,0,0.476404415113585,-0.136444705572679
11481536.2149688,0,0.475332362326949,-0.1394379832685
11748975.5493953,0,0.474213445367975,-0.142488631775461
12022644.3461741,0,0.473045780964612,-0.145597204645091
12302687.7081238,0,0.471827424626051,-0.148764223605861
12589254.1179417,0,0.470556369892158,-0.151990175835465
12882495.5169313,0,0.46923054768518,-0.155275511149536
13182567.3855641,0,0.467847825773338,-0.158620639114377
13489628.8259165,0,0.466406008355874,-0.162025926092919
13803842.6460288,0,0.464902835778922,-0.165491692234874
14125375.4462275,0,0.463335984391177,-0.169018208424014
14454397.7074593,0,0.461703066547779,-0.172605693197609
14791083.8816821,0,0.460001630769973,-0.176254309655346
15135612.4843621,0,0.458229162067029,-0.179964162377483
15488166.1891248,0,0.456383082425456,-0.183735294374614
15848931.9246111,0,0.454460751468747,-0.187567684094198
16218100.9735893,0,0.452459467288677,-0.191461242511906
16595869.0743756,0,0.450376467446468,-0.195415810338911
16982436.5246174,0,0.448208930138894,-0.199431155379391
17378008.2874937,0,0.445953975520542,-0.203506970075781
17782794.1003892,0,0.443608667168931,-0.207642869282606
18197008.5860998,0,0.441170013673878,-0.211838388313033
18620871.3666287,0,0.438634970326377,-0.216092981305547
19054607.1796325,0,0.436000440875204,-0.220406019961357
19498445.9975804,0,0.433263279311329,-0.224776792706067
19952623.1496888,0,0.430420291631011,-0.229204504331953
20417379.4466953,0,0.427468237517957,-0.233688276179492
20892961.3085404,0,0.424403831873086,-0.238227146918702
21379620.8950223,0,0.421223746107075,-0.242820073992126
21877616.2394955,0,0.417924609095922,-0.247465935781781
22387211.3856834,0,0.414503007682963,-0.252163534561915
22908676.5276777,0,0.410955486592105,-0.256911600297809
23442288.1531992,0,0.40727854759618,-0.261708795347825
23988329.1901949,0,0.403468647761191,-0.266553720121151
24547089.1568503,0,0.399522196561535,-0.271444919736995
25118864.3150958,0,0.395435551632783,-0.276380891721851
25703957.8276886,0,0.391205012897119,-0.281360094769522
26302679.9189538,0,0.386826814761598,-0.286380958573323
26915348.0392691,0,0.38229711605076,-0.291441894720649
27542287.0333816,0,0.377611987292393,-0.296541308616214
28183829.3126445,0,0.372767394927822,-0.301677612370798
28840315.031266,0,0.367759181965583,-0.306849238556297
29512092.2666638,0,0.362583044538985,-0.31205465468387
30199517.2040201,0,0.357234503763274,-0.317292378208536
30902954.3251359,0,0.351708872215908,-0.322560991798588
31622776.6016837,0,0.346001214283104,-0.327859158529348
32359365.6929628,0,0.340106299526195,-0.333185636564928
33113112.1482591,0,0.334018548121381,-0.33853929277499
33884415.6139202,0,0.327731967315149,-0.343919114591168
34673685.0452531,0,0.321240077713762,-0.349324219233795
35481338.9233575,0,0.314535828087991,-0.354753859226066
36307805.4770101,0,0.307611497223076,-0.360207422850223
37153522.9097172,0,0.300458581178752,-0.365684427876331
38018939.6320561,0,0.293067664146294,-0.371184506493281
38904514.499428,0,0.285428270901623,-0.376707378874317
39810717.0553497,0,0.277528698661122,-0.382252812190696
40738027.7804112,0,0.269355825959331,-0.387820561116382
41686938.3470335,0,0.260894896000628,-0.393410284904751
42657951.8801592,0,0.252129271814663,-0.399021434916984
43651583.2240165,0,0.243040160504925,-0.404653104981173
44668359.2150962,0,0.233606303977504,-0.410303835087826
45708818.9614874,0,0.22380363385587,-0.415971356592853
46773514.1287197,0,0.213604888949149,-0.421652264198189
47863009.2322637,0,0.2029791948227,-0.427341596392127
48977881.9368445,0,0.191891606975038,-0.433032301622983
50118723.3627271,0,0.180302622216774,-0.438714562115369
51286138.3991364,0,0.16816766758764,-0.444374940799827
52480746.0249771,0,0.155436583252739,-0.449995309250908
53703179.6370251,0,0.142053126277346,-0.455551505874738
54954087.3857623,0,0.127954537332717,-0.461011664148818
56234132.5190348,0,0.113071234015676,-0.466334141209759
57543993.7337156,0,0.0973267248666894,-0.47146496894282
58884365.5355588,0,0.0806378801634442,-0.476334745560781
60255958.6074356,0,0.0629157523560147,-0.480854889934902
61659500.1861481,0,0.0440672137392305,-0.484913200938261
63095734.4480192,0,0.0239977736620862,-0.488368711129447
64565422.9034654,0,0.00261605108068888,-0.491045915089581
66069344.8007594,0,-0.0201594976106081,-0.492728611166806
67608297.539198,0,-0.0443908822788043,-0.49315385142581
69183097.0918935,0,-0.0701071429388346,-0.492006881512136
70794578.4384136,0,-0.0972864785182372,-0.488918495655674
72443596.0074988,0,-0.125833580770448,-0.483466926964629
74131024.1300915,0,-0.15555258155538,-0.47518716123511
75857757.5029182,0,-0.186117413747117,-0.463591190200758
77624711.662869,0,-0.21704352416796,-0.448202791930978
79432823.4724279,0,-0.247667635433029,-0.428609304121987
81283051.6164097,0,-0.277145001441955,-0.40452980734448
83176377.1102669,0,-0.30447498494003,-0.375893731117493
85113803.8202374,0,-0.328563840153014,-0.342916710052659
87096358.9956078,0,-0.348326546140074,-0.306153832035584
89125093.8133743,0,-0.362817437291303,-0.266508181239885
91201083.9355907,0,-0.371365607174484,-0.225178749978719
93325430.0796988,0,-0.373682189482453,-0.183547246569419
95499258.6021433,0,-0.369909164258524,-0.143023344829752
97723722.0955808,0,-0.360594823153336,-0.104883329592212
99999999.9999997,0,-0.346603441207058,-0.0701396540351519
102329299.228075,0,-0.328985556622457,-0.0394671967462034
104712854.80509,0,-0.308842396455156,-0.0131924289323783
107151930.52376,0,-0.287212405518151,0.00866612256669957
109647819.614318,0,-0.26499489646616,0.026327204230301
112201845.430196,0,-0.242912602632432,0.0401672970178788
114815362.149688,0,-0.221506013342191,0.0506478772146102
117489755.493953,0,-0.201148845176028,0.0582577760491953
120226443.461741,0,-0.182074492516104,0.0634727904232715
123026877.081238,0,-0.164405775675046,0.0667308640369704
125892541.179416,0,-0.148183163693329,0.0684194610886183
128824955.169313,0,-0.13338903101385,0.0688715025930228
131825673.85564,0,-0.119967146406536,0.0683667326501168
134896288.259165,0,-0.107837551526962,0.0671361352348335
138038426.460288,0,-0.096907447366865,0.0653677558954988
141253754.462275,0,-0.0870788543222257,0.0632128807684777
144543977.074592,0,-0.0782537879601919,0.060791963356306
147910838.81682,0,-0.0703375915430627,0.0581999862666576
151356124.84362,0,-0.0632409425844237,0.0555111329817933
154881661.891248,0,-0.0568809321587426,0.0527827555804115
158489319.246111,0,-0.0511815142037339,0.0500586840685737
162181009.735892,0,-0.0460735406603421,0.0473719506117673
165958690.743755,0,-0.0414945357371955,0.0447470105485606
169824365.246174,0,-0.0373883159390533,0.0422015401149257
173780082.874937,0,-0.0337045285040237,0.0397478836160752
177827941.003892,0,-0.0303981565751994,0.0373942135008476
181970085.860998,0,-0.0274290223127036,0.0351454571947112
186208713.666286,0,-0.0247613072820767,0.0330040355509687
190546071.796324,0,-0.0223631013524707,0.0309704497977298
194984459.975804,0,-0.0202059859042371,0.0290437470140027
199526231.496887,0,-0.0182646535797265,0.0272218884311077
204173794.466952,0,-0.0165165645383887,0.0255020401209343
208929613.085403,0,-0.0149416377889973,0.0238808017678734
213796208.950222,0,-0.0135219753804536,0.0223543860912023
218776162.394954,0,-0.0122416168375099,0.0209187589636214
223872113.856833,0,-0.0110863210900717,0.0195697482489167
229086765.276776,0,-0.0100433731693372,0.0183031277631099
234422881.531991,0,-0.00910141306633447,0.0171146814704547
239883291.901948,0,-0.00825028432518532,0.0160002519937666
245470891.568502,0,-0.0074809001461609,0.0149557766955046
251188643.150957,0,-0.00678512498394441,0.0139773139295348
257039578.276885,0,-0.00615566983303355,0.0130610615397755
263026799.189537,0,-0.0055859995881213,0.0122033692639056
269153480.39269,0,-0.00507025104890894,0.0114007463664801
275422870.333815,0,-0.00460316030448749,0.0106498655589952
281838293.126444,0,-0.00417999838182975,0.00994756405106135
288403150.312659,0,-0.00379651417651921,0.00929084240605004
295120922.666637,0,-0.00344888380252703,0.00867686173777841
